,Company_Name,Sector of Company,Rating,No_of_Ratings,Positives of Company,Negatives of Company,Locations of company
4207,PMT Machines,Industrial Machinery ,3.3,216,  ," Company Culture, Promotions / Appraisal, Work Life Balance", Pune +12 other locations
4208,S Chand Group,Printing & Publishing ,4.2,216," Work Life Balance, Company Culture, Job Security ",, New Delhi +32 other locations
4209,Chennai Petroleum Corporation,Oil & Gas ,4.5,217," Job Security, Work Satisfaction, Skill Development / Learning ",, Chennai +9 other locations
4210,Flash Viven Machining Technologies,Auto Components ,3.7,216,  ," Promotions / Appraisal, Salary & Benefits, Company Culture", Pune +1 other locations
4211,Edward Food Research and Analysis Centre,Analytics & KPO ,4.0,216," Skill Development / Learning, Company Culture, Salary & Benefits ",, Kolkata +3 other locations
4212,Vasta Global,Mumbai +7 other locations,3.7,227,  ," Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
4213,Rajiv Gandhi Cancer Institute & Research Centre,Healthcare ,4.0,226, Work Life Balance  , Promotions / Appraisal, New Delhi +4 other locations
4214,Varite,IT Services & Consulting ,3.5,216,  ," Job Security, Promotions / Appraisal, Skill Development / Learning", Bangalore / Bengaluru +11 other locations
4215,Danieli,Industrial Machinery ,3.6,215,  ," Promotions / Appraisal, Company Culture, Work Satisfaction", Chennai +14 other locations
4216,Royal Infraconstru,Engineering & Construction ,3.5,215,  ," Promotions / Appraisal, Work Satisfaction, Job Security", Kolkata +36 other locations
4217,Aegis Logistics,Oil & Gas ,3.8,215," Job Security, Work Life Balance  "," Promotions / Appraisal, Salary & Benefits, Company Culture", Mumbai +27 other locations
4218,Excelra Knowledge Solutions,IT Services & Consulting ,3.6,215,  ," Promotions / Appraisal, Salary & Benefits, Work Satisfaction", Hyderabad / Secunderabad +7 other locations
4219,Emirates Airlines,Aviation ,3.9,215," Skill Development / Learning, Work Life Balance, Salary & Benefits  ", Promotions / Appraisal, Mumbai +16 other locations
4220,Bazar India,Retail ,3.7,215,  ," Job Security, Promotions / Appraisal, Salary & Benefits", Gurgaon / Gurugram +54 other locations
4221,Scania,Auto Components ,3.8,216, Work Life Balance  ," Promotions / Appraisal, Salary & Benefits", Bangalore / Bengaluru +20 other locations
4222,Kinetic Engineering,Auto Components ,3.7,216,  ," Promotions / Appraisal, Company Culture, Salary & Benefits", Ahmednagar +16 other locations
4223,Sanjeev Auto Parts Manufacturers,Auto Components ,4.1,216," Skill Development / Learning, Company Culture, Salary & Benefits ",, Aurangabad +3 other locations
4224,Casio India Company,Consumer Electronics & Appliances ,3.0,215,  ," Promotions / Appraisal, Skill Development / Learning, Company Culture", New Delhi +26 other locations
4225,JGC Corporation,Engineering & Construction ,4.4,215," Company Culture, Work Life Balance, Job Security ",, Chennai +14 other locations
4226,Quality Council of India,Government ,3.5,215,  ," Job Security, Promotions / Appraisal, Skill Development / Learning", New Delhi +18 other locations
4227,Mfar Constructions,Engineering & Construction ,3.8,215, Skill Development / Learning  , Promotions / Appraisal, Bangalore / Bengaluru +12 other locations
4228,Jspiders,Education & Training ,3.7,215,  ," Promotions / Appraisal, Salary & Benefits, Job Security", Bangalore / Bengaluru +12 other locations
4229,Link Group,Financial Services ,3.8,222," Work Life Balance, Job Security  "," Promotions / Appraisal, Work Satisfaction", Mumbai +7 other locations
4230,TP Central Odisha Distribution,Power ,3.4,234, Job Security  ," Promotions / Appraisal, Salary & Benefits, Company Culture", Bhubaneswar +24 other locations
4231,RNFI Services,Financial Services ,3.5,240,  ," Job Security, Promotions / Appraisal, Company Culture", New Delhi +59 other locations
4232,Integra Micro Systems,Software Product ,3.8,214, Job Security  ," Promotions / Appraisal, Salary & Benefits", Bangalore / Bengaluru +36 other locations
4233,Vcare Call Center,BPO ,3.3,214,  ," Job Security, Promotions / Appraisal, Company Culture", Noida +11 other locations
4234,Hicare Services,Facility Management Services ,3.8,214,  ," Promotions / Appraisal, Work Satisfaction, Skill Development / Learning", Mumbai +24 other locations
4235,Javi Systems ,IT Services & Consulting ,3.5,215,  ," Promotions / Appraisal, Salary & Benefits, Company Culture", Gurgaon / Gurugram +34 other locations
4236,Amazon Distributors,New Delhi +33 other locations,3.9,213, Work Life Balance ,,
4237,Vision Express,Retail ,3.9,214," Salary & Benefits, Skill Development / Learning  "," Promotions / Appraisal, Work Life Balance, Company Culture", Bangalore / Bengaluru +34 other locations
4238,Informatica Business Solutions,Software Product ,3.9,214," Work Life Balance, Company Culture, Salary & Benefits  ", Job Security, Bangalore / Bengaluru +3 other locations
4239,Tatva Chintan Pharma Chem,Chemicals ,3.9,214,  ," Promotions / Appraisal, Work Satisfaction, Company Culture", Ankleshwar +6 other locations
4240,Milk Mantra Dairy,Food Processing ,3.6,214,  ," Promotions / Appraisal, Company Culture, Work Life Balance", Bhubaneswar +24 other locations
4241,ExpertCallers,BPO ,3.6,214,  ," Promotions / Appraisal, Job Security, Salary & Benefits", Bangalore / Bengaluru +8 other locations
4242,Ketto,Internet ,3.9,214," Company Culture, Work Life Balance ",, Mumbai +5 other locations
4243,Electrical Maintenance,Chennai +64 other locations,4.2,217," Company Culture, Work Life Balance, Work Satisfaction ",,
4244,Gen,Software Product ,4.0,226," Work Life Balance, Salary & Benefits, Company Culture  "," Job Security, Promotions / Appraisal", Pune +7 other locations
4245,Velnik India ,Beauty & Personal Care ,3.3,228,  ," Job Security, Company Culture, Promotions / Appraisal", Indore +39 other locations
4246,Oswaal Books and Learning Private Limited,Printing & Publishing ,4.2,222," Company Culture, Skill Development / Learning, Work Life Balance ",, Agra +10 other locations
4247,SCM Garments,Fashion & Textile ,3.9,214, Job Security  , Promotions / Appraisal, Tiruppur +11 other locations
4248,Motorola,Consumer Electronics & Appliances ,4.3,213," Work Life Balance, Company Culture, Job Security ",, Bangalore / Bengaluru +56 other locations
4249,Indian Railway Catering and Tourism,Urban Transport ,3.9,213," Work Life Balance, Company Culture  ", Promotions / Appraisal, New Delhi +44 other locations
4250,JSG Group,Auto Components ,3.7,213,  ," Promotions / Appraisal, Company Culture, Job Security", New Delhi +10 other locations
4251,Hill International,Engineering & Construction ,4.2,214," Company Culture, Work Life Balance, Work Satisfaction ",, Mumbai +23 other locations
4252,Ensure Support Services,IT Services & Consulting ,4.2,213," Work Satisfaction, Skill Development / Learning, Company Culture ",, Chennai +45 other locations
4253,O P Jindal Global University,Education & Training ,3.9,213," Job Security, Salary & Benefits  ", Promotions / Appraisal, Sonipat +6 other locations
4254,KGK Group,Jewellery ,3.7,213,  , Promotions / Appraisal, Mumbai +15 other locations
4255,EGIS,Power ,4.1,213," Work Life Balance, Company Culture, Salary & Benefits  ", Promotions / Appraisal, Bangalore / Bengaluru +53 other locations
4256,Caplin Point Laboratories,Pharma ,3.7,213,  ," Company Culture, Job Security, Promotions / Appraisal", Chennai +8 other locations
4257,Utkarsh India,Kolkata +15 other locations,3.3,214,  ," Company Culture, Work Life Balance, Promotions / Appraisal",
4258,Bright Life Care,Fitness & Wellness ,4.0,213," Work Life Balance, Salary & Benefits, Company Culture  ", Promotions / Appraisal, Gurgaon / Gurugram +42 other locations
4259,Verifacts Services,Recruitment ,3.6,213,  ," Promotions / Appraisal, Salary & Benefits, Company Culture", Bangalore / Bengaluru +10 other locations
4260,Manappuram Home Finance,Financial Services ,4.0,213," Skill Development / Learning, Work Life Balance  ", Promotions / Appraisal, Mumbai +74 other locations
4261,Chandigarh Group of Colleges,Education & Training ,3.7,214,  ," Promotions / Appraisal, Work Satisfaction, Job Security", Chandigarh +16 other locations
4262,Saint Gobain Sekurit India,Auto Components ,3.7,213,  ," Promotions / Appraisal, Salary & Benefits, Work Satisfaction", Chennai +17 other locations
4263,Madhucon Projects,Engineering & Construction ,3.4,213,  ," Promotions / Appraisal, Company Culture, Job Security", Hyderabad / Secunderabad +32 other locations
4264,Galpha Laboratories,Pharma ,3.8,213,  ," Promotions / Appraisal, Skill Development / Learning, Company Culture", Baddi +24 other locations
4265,MQSYS Technologies,IT Services & Consulting ,3.6,213,  ," Promotions / Appraisal, Job Security, Work Satisfaction", Chennai +17 other locations
4266,Reecomps Teleservices,Telecom ,3.8,213,  ," Promotions / Appraisal, Company Culture, Job Security", Mumbai +47 other locations
4267,Ambey Mining,Metals & Mining ,3.3,213,  ," Promotions / Appraisal, Salary & Benefits, Company Culture", Durgapur +16 other locations
4268,Rostfrei Steels,Industrial Machinery ,4.1,213," Salary & Benefits, Company Culture, Work Life Balance ",, New Delhi +11 other locations
4269,Millennium Engineers & Contractors,Engineering & Construction ,4.1,213," Skill Development / Learning, Salary & Benefits, Job Security ",, Pune +8 other locations
4270,Galgotias University,Education & Training ,3.2,212,  ," Promotions / Appraisal, Company Culture, Work Satisfaction", Greater Noida +12 other locations
4271,Dev Information Technology,IT Services & Consulting ,3.8,212, Work Life Balance  , Promotions / Appraisal, Ahmedabad +31 other locations
4272,Operational Energy Group India,Power ,3.8,212,  , Promotions / Appraisal, Chennai +49 other locations
4273,Puranik Builders,Real Estate ,3.9,212," Job Security, Work Life Balance, Company Culture  ", Promotions / Appraisal, Mumbai +9 other locations
4274,Raj Petro Specialities,Oil & Gas ,4.0,212," Work Life Balance, Company Culture, Job Security  ", Promotions / Appraisal, Chennai +23 other locations
4275,Jaypee Hotels,Hospitality ,4.1,212," Work Life Balance, Job Security  "," Promotions / Appraisal, Salary & Benefits", New Delhi +14 other locations
4276,Ncsi Technologies,IT Services & Consulting ,3.0,222,  ," Promotions / Appraisal, Work Satisfaction, Job Security", Pune +5 other locations
4277,Accel IT Services,IT Services & Consulting ,3.6,231,  ," Promotions / Appraisal, Salary & Benefits, Company Culture", Chennai +50 other locations
4278,Born Group,Marketing & Advertising ,3.6,212,  ," Promotions / Appraisal, Company Culture, Salary & Benefits", Chennai +11 other locations
4279,Prime Focus,Animation & VFX ,3.8,212,  ," Promotions / Appraisal, Salary & Benefits", Mumbai +11 other locations
4280,Unicorn Infosolutions,Retail ,3.4,212,  ," Company Culture, Promotions / Appraisal, Work Life Balance", New Delhi +17 other locations
4281,HyFun Foods,Food Processing ,4.2,217," Salary & Benefits, Work Life Balance, Job Security ",, Ahmedabad +20 other locations
4282,Propel Industries,Metals & Mining ,3.8,212,  ," Company Culture, Promotions / Appraisal", Coimbatore +21 other locations
4283,MeritNation,EdTech ,3.4,211,  ," Job Security, Promotions / Appraisal, Work Life Balance", New Delhi +20 other locations
4284,National Securities Depository,Financial Services ,3.2,212,  ," Promotions / Appraisal, Skill Development / Learning, Company Culture", Mumbai +8 other locations
4285,National Insurance Company,Insurance ,4.2,211," Work Life Balance, Job Security, Company Culture ",, Kolkata +74 other locations
4286,Rooman Technologies,Education & Training ,3.4,212,  ," Job Security, Promotions / Appraisal, Company Culture", Bangalore / Bengaluru +39 other locations
4287,Kamineni Hospitals,Healthcare ,4.1,212," Work Life Balance, Skill Development / Learning, Work Satisfaction  ", Promotions / Appraisal, Hyderabad / Secunderabad +8 other locations
4288,Electronic Arts,Gaming ,4.1,212," Work Life Balance, Company Culture, Salary & Benefits  ", Promotions / Appraisal, Hyderabad / Secunderabad +7 other locations
4289,Tamilnad Mercantile Bank,Banking ,2.8,213,  ," Work Life Balance, Company Culture, Work Satisfaction", Chennai +54 other locations
4290,Gold's Gym,Fitness & Wellness ,4.0,211,  ," Job Security, Promotions / Appraisal", Mumbai +48 other locations
4291,Infocus Technologies,IT Services & Consulting ,3.9,212," Work Life Balance, Skill Development / Learning  "," Job Security, Promotions / Appraisal", Kolkata +16 other locations
4292,Star Engineers India,Auto Components ,3.4,211,  ," Promotions / Appraisal, Company Culture, Job Security", Pune +14 other locations
4293,Super Auto Forge,Industrial Machinery ,3.8,211," Job Security, Skill Development / Learning  "," Promotions / Appraisal, Salary & Benefits, Company Culture", Chennai +6 other locations
4294,Student Life,Non-Profit ,4.0,220," Skill Development / Learning, Work Life Balance, Job Security ",, Kolkata +40 other locations
4295,United Alliance Technology,IT Services & Consulting ,4.9,245," Company Culture, Work Life Balance, Work Satisfaction ",, Pune +6 other locations
4296,Ivy Hospital,Healthcare ,3.5,211,  ," Promotions / Appraisal, Company Culture, Job Security", Chandigarh +12 other locations
4297,Appsierra,IT Services & Consulting ,4.4,211," Company Culture, Work Satisfaction, Promotions / Appraisal ",, Noida +16 other locations
4298,Mantri Developers,Real Estate ,3.4,211,  ," Promotions / Appraisal, Work Satisfaction, Company Culture", Bangalore / Bengaluru +6 other locations
4299,Isc Projects,Engineering & Construction ,3.8,211,  , Job Security, Pune +32 other locations
4300,General Energy Management Systems,Industrial Machinery ,3.9,211," Job Security, Skill Development / Learning, Company Culture  ", Promotions / Appraisal, Noida +35 other locations
4301,MosChip Technologies,Semiconductors ,3.8,212," Job Security, Company Culture, Skill Development / Learning ",, Hyderabad / Secunderabad +4 other locations
4302,Eaton Power Quality,Electronics Manufacturing ,4.2,211," Company Culture, Work Life Balance, Job Security  ", Promotions / Appraisal, Pondicherry / Puducherry +17 other locations
4303,e-Procurement Technologies,IT Services & Consulting ,3.2,210,  ," Promotions / Appraisal, Salary & Benefits, Company Culture", Ahmedabad +18 other locations
4304,ASUS,Consumer Electronics & Appliances ,4.2,210," Company Culture, Skill Development / Learning, Salary & Benefits ",, Mumbai +48 other locations
4305,Leayan Global,Fashion & Textile ,4.1,211," Skill Development / Learning, Company Culture, Work Life Balance  "," Promotions / Appraisal, Salary & Benefits", Kanpur +39 other locations
4306,Atibir Industries,Iron & Steel ,3.6,210, Skill Development / Learning  ," Promotions / Appraisal, Salary & Benefits, Company Culture", Giridih +15 other locations
