,Company_Name,Sector of Company,Rating,No_of_Ratings,Positives of Company,Negatives of Company,Locations of company
1025,GVPR Engineers,Engineering & Construction ,3.8,847,  ," Promotions / Appraisal, Job Security, Skill Development / Learning", Hyderabad / Secunderabad +78 other locations
1026,Pristyn Care,Internet ,3.5,881,  ," Work Life Balance, Job Security, Work Satisfaction", Gurgaon / Gurugram +28 other locations
1027,Bounteous x Accolite,IT Services & Consulting ,3.4,845,  ," Promotions / Appraisal, Work Satisfaction, Company Culture", Bangalore / Bengaluru +13 other locations
1028,LOREAL,Beauty & Personal Care ,4.0,844," Salary & Benefits, Company Culture, Job Security  ", Promotions / Appraisal, Mumbai +90 other locations
1029,Suzuki Motorcycle,Automobile ,4.0,843," Job Security, Work Life Balance, Company Culture  ", Promotions / Appraisal, Gurgaon / Gurugram +110 other locations
1030,Page Industries,Fashion & Textile ,4.2,844," Job Security, Salary & Benefits, Company Culture  ", Promotions / Appraisal, Bangalore / Bengaluru +83 other locations
1031,SitusAMC,Software Product ,3.3,892,  ," Job Security, Promotions / Appraisal, Skill Development / Learning", Bangalore / Bengaluru +18 other locations
1032,Wheels,Auto Components ,4.0,843," Job Security, Skill Development / Learning  ", Promotions / Appraisal, Chennai +40 other locations
1033,Lowe's,Retail ,4.2,845," Company Culture, Work Life Balance, Job Security  ", Promotions / Appraisal, Bangalore / Bengaluru +9 other locations
1034,Zetwerk,Internet ,4.1,895," Salary & Benefits, Company Culture, Work Life Balance ",, Bangalore / Bengaluru +97 other locations
1035,Gharda Chemicals Limited,Agro Chemicals ,3.9,841," Job Security, Work Life Balance  ", Promotions / Appraisal, Mumbai +62 other locations
1036,Capacit'e Infraprojects,Engineering & Construction ,3.6,840,  ," Promotions / Appraisal, Company Culture, Salary & Benefits", Mumbai +32 other locations
1037,Asirvad Microfinance,NBFC ,3.9,839," Work Life Balance, Company Culture, Job Security  ", Promotions / Appraisal, Chennai +252 other locations
1038,ICON Plc,Clinical Research ,4.1,839, Work Life Balance  ," Promotions / Appraisal, Skill Development / Learning", Chennai +25 other locations
1039,Knorr-Bremse,Auto Components ,3.8,838,,, Pune +27 other locations
1040,Amara Raja Group,Auto Components ,4.2,888," Job Security, Company Culture, Skill Development / Learning ",, Tirupati +64 other locations
1041,Volkswagen,Automobile ,4.2,837," Company Culture, Work Life Balance, Work Satisfaction ",, Pune +102 other locations
1042,Quantiphi Analytics Solutions Private Limited,IT Services & Consulting ,3.2,834,  ," Job Security, Work Life Balance, Promotions / Appraisal", Bangalore / Bengaluru +15 other locations
1043,Biocon Biologics,Biotechnology ,3.6,948,  ," Promotions / Appraisal, Work Satisfaction, Work Life Balance", Bangalore / Bengaluru +23 other locations
1044,Amazon Sellers Services,Retail ,4.0,829," Salary & Benefits, Company Culture, Skill Development / Learning  ", Promotions / Appraisal, Bangalore / Bengaluru +66 other locations
1045,Greenko Group,Power ,3.7,833, Job Security  ," Promotions / Appraisal, Work Satisfaction, Salary & Benefits", Hyderabad / Secunderabad +67 other locations
1046,Netscribes,Analytics & KPO ,2.7,827,  ," Promotions / Appraisal, Job Security, Salary & Benefits", Kolkata +17 other locations
1047,Indostar Capital Finance,NBFC ,4.4,827," Company Culture, Work Life Balance, Work Satisfaction ",, Mumbai +270 other locations
1048,Apotex Research,Pharma ,3.9,827," Work Life Balance, Company Culture  ", Promotions / Appraisal, Bangalore / Bengaluru +14 other locations
1049,Serco,Analytics & KPO ,4.3,827," Company Culture, Work Life Balance, Work Satisfaction ",, Mumbai +39 other locations
1050,Comviva Technology,IT Services & Consulting ,3.0,827,  ," Promotions / Appraisal, Work Satisfaction, Salary & Benefits", Gurgaon / Gurugram +18 other locations
1051,Star Cement,Building Material ,4.0,826," Job Security, Company Culture, Work Life Balance  ", Promotions / Appraisal, Guwahati +69 other locations
1052,Next Education India,EdTech ,3.5,822,  ," Promotions / Appraisal, Job Security, Company Culture", Hyderabad / Secunderabad +92 other locations
1053,AJIO,Internet ,3.7,857,  ," Promotions / Appraisal, Company Culture", Bangalore / Bengaluru +190 other locations
1054,Aparajitha Corporate Services,Legal ,3.9,821," Job Security, Skill Development / Learning, Company Culture  "," Promotions / Appraisal, Salary & Benefits", Madurai +84 other locations
1055,Barclays Global Service Centre,IT Services & Consulting ,3.9,859," Work Life Balance, Company Culture, Job Security  ", Promotions / Appraisal, Pune +13 other locations
1056,Cult.fit,Fitness & Wellness ,3.6,863,  ," Promotions / Appraisal, Job Security, Work Satisfaction", Bangalore / Bengaluru +36 other locations
1057,United Breweries,Beverage ,3.5,820,  ," Promotions / Appraisal, Job Security, Work Satisfaction", Bangalore / Bengaluru +97 other locations
1058,Everest Industries,Building Material ,3.9,819," Company Culture, Work Life Balance, Job Security  ", Promotions / Appraisal, Mumbai +81 other locations
1059,ivy,Software Product ,3.6,824, Work Life Balance  ," Promotions / Appraisal, Skill Development / Learning, Work Satisfaction", Hyderabad / Secunderabad +10 other locations
1060,Timken,Industrial Machinery ,3.9,819," Work Life Balance, Job Security  ", Promotions / Appraisal, Jamshedpur +42 other locations
1061,ivy,Software Product ,3.6,824, Work Life Balance  ," Promotions / Appraisal, Skill Development / Learning, Work Satisfaction", Hyderabad / Secunderabad +10 other locations
1062,Arvind Lifestyle Brands,Retail ,4.0,817," Company Culture, Work Life Balance, Work Satisfaction ",, Bangalore / Bengaluru +84 other locations
1063,Sandhar Technologies,Auto Components ,3.9,814,  , Promotions / Appraisal, Gurgaon / Gurugram +28 other locations
1064,Egis  India Consulting Engineers,Engineering & Construction ,4.1,814," Work Life Balance, Company Culture, Work Satisfaction  ", Promotions / Appraisal, Gurgaon / Gurugram +105 other locations
1065,Atlas Copco,Industrial Machinery ,4.2,814," Job Security, Company Culture, Work Life Balance  ", Promotions / Appraisal, Pune +53 other locations
1066,Pramerica Life Insurance,Insurance ,3.8,813," Work Life Balance, Company Culture ",, Gurgaon / Gurugram +121 other locations
1067,Amazon Web Services,IT Services & Consulting ,3.9,813," Salary & Benefits, Company Culture, Skill Development / Learning  "," Job Security, Promotions / Appraisal", Bangalore / Bengaluru +56 other locations
