,Company_Name,Sector of Company,Locations of company,Rating,No_of_Ratings,Positives of Company,Negatives of Company
122,Vivo, Noida +400 other locations,Consumer Electronics & Appliances ,4.1,4.5k," Highly Rated For Skill Development / Learning, Company Culture, Work Life Balance  ", Rated For Promotions / Appraisal
123,Swiggy, Bangalore / Bengaluru +213 other locations,Internet ,3.8,4.5k,  ," Rated For Job Security, Promotions / Appraisal, Work Satisfaction"
124,IQVIA, Bangalore / Bengaluru +58 other locations,Clinical Research ,3.9,4.4k," Highly Rated For Job Security, Company Culture, Work Life Balance  ", Rated For Promotions / Appraisal
125,BNY, Pune +22 other locations,Financial Services ,3.8,4.4k," Highly Rated For Work Life Balance, Company Culture  "," Rated For Promotions / Appraisal, Job Security"
126,Kalpataru Projects International, Mumbai +284 other locations,Engineering & Construction ,4.1,4.4k," Highly Rated For Job Security, Company Culture, Work Life Balance ",
127,SBI Cards & Payment Services, New Delhi +394 other locations,Financial Services ,3.7,4.4k,  ," Rated For Promotions / Appraisal, Work Satisfaction, Company Culture"
128,Atos, Pune +48 other locations,IT Services & Consulting ,3.8,4.4k, Highly Rated For Work Life Balance  ," Rated For Promotions / Appraisal, Salary & Benefits"
129,Eviden, Pune +33 other locations,IT Services & Consulting ,3.6,4.6k,  ," Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
130,Home Credit Finance, Gurgaon / Gurugram +125 other locations,NBFC ,4.1,4.4k," Highly Rated For Work Life Balance, Company Culture, Skill Development / Learning  ", Rated For Promotions / Appraisal
131,TVS Motor, Hosur +323 other locations,Automobile ,3.9,4.4k," Highly Rated For Skill Development / Learning, Job Security, Salary & Benefits  ", Rated For Promotions / Appraisal
132,CBRE, Hyderabad / Secunderabad +85 other locations,Real Estate ,4.1,4.3k," Highly Rated For Skill Development / Learning, Company Culture, Work Life Balance ",
133,PolicyBazaar, Gurgaon / Gurugram +126 other locations,Internet ,3.7,4.3k, Highly Rated For Salary & Benefits  ," Rated For Work Life Balance, Company Culture, Work Satisfaction"
134,Persistent Systems, Pune +41 other locations,IT Services & Consulting ,3.6,4.3k,  ," Rated For Promotions / Appraisal, Job Security, Work Satisfaction"
135,Nagarro, Gurgaon / Gurugram +47 other locations,IT Services & Consulting ,4.0,4.3k," Highly Rated For Work Life Balance, Company Culture, Skill Development / Learning ",
136,OPPO, Greater Noida +387 other locations,Consumer Electronics & Appliances ,4.0,4.2k, Highly Rated For Skill Development / Learning  ," Rated For Promotions / Appraisal, Job Security"
137,Amdocs, Pune +21 other locations,Software Product ,3.7,4.2k, Highly Rated For Company Culture  ," Rated For Promotions / Appraisal, Work Satisfaction, Job Security"
138,State Bank of India, Mumbai +551 other locations,Banking ,3.8,4.2k," Highly Rated For Job Security, Salary & Benefits  ", Rated For Work Life Balance
139,JBM Group, Gurgaon / Gurugram +100 other locations,Auto Components ,4.0,4.2k," Highly Rated For Job Security, Skill Development / Learning, Work Life Balance  ", Rated For Promotions / Appraisal
140,Schneider Electric, Bangalore / Bengaluru +116 other locations,Industrial Automation ,4.1,4.1k," Highly Rated For Company Culture, Work Life Balance, Job Security  ", Rated For Promotions / Appraisal
141,Nagarjuna Construction Company, Hyderabad / Secunderabad +260 other locations,Engineering & Construction ,4.1,4.1k," Highly Rated For Job Security, Salary & Benefits, Company Culture ",
142,Bosch, Bangalore / Bengaluru +113 other locations,Auto Components ,4.2,4.1k," Highly Rated For Company Culture, Work Life Balance, Job Security  ", Rated For Promotions / Appraisal
143,Hewlett Packard Enterprise, Bangalore / Bengaluru +96 other locations,IT Services & Consulting ,4.2,4.1k," Highly Rated For Company Culture, Work Life Balance, Job Security  ", Rated For Promotions / Appraisal
144,Dell, Bangalore / Bengaluru +109 other locations,Consumer Electronics & Appliances ,3.9,4.1k," Highly Rated For Work Life Balance, Company Culture  ", Rated For Promotions / Appraisal
145,Ecom Express, Gurgaon / Gurugram +693 other locations,Logistics ,3.8,4k,  ," Rated For Promotions / Appraisal, Job Security"
146,NTT Data, Bangalore / Bengaluru +61 other locations,IT Services & Consulting ,3.8,4.2k," Highly Rated For Work Life Balance, Job Security  ", Rated For Promotions / Appraisal
147,KEC International, Mumbai +287 other locations,Engineering & Construction ,4.0,3.9k," Highly Rated For Job Security, Salary & Benefits, Company Culture  ", Rated For Promotions / Appraisal
148,Mahindra Logistics, Mumbai +221 other locations,Logistics ,3.9,4k, Highly Rated For Skill Development / Learning  ," Rated For Promotions / Appraisal, Salary & Benefits"
149,SBI Life Insurance Company, Mumbai +581 other locations,Insurance ,3.8,4.2k, Highly Rated For Job Security  ," Rated For Promotions / Appraisal, Work Life Balance, Work Satisfaction"
150,Randstad, Hyderabad / Secunderabad +308 other locations,Recruitment ,3.7,3.9k,  ," Rated For Promotions / Appraisal, Job Security, Work Satisfaction"
151,Varun Beverages, New Delhi +331 other locations,Beverage ,4.0,3.8k," Highly Rated For Job Security, Salary & Benefits  ", Rated For Promotions / Appraisal
152,CARS24 , Gurgaon / Gurugram +164 other locations,Internet ,3.5,3.8k,  ," Rated For Job Security, Promotions / Appraisal, Company Culture"
153,Hyundai Motor India Limited, Chennai +272 other locations,Automobile ,4.2,3.8k," Highly Rated For Job Security, Skill Development / Learning, Salary & Benefits ",
154,Piramal Capital Housing Finance, Mumbai +360 other locations,NBFC ,4.2,4k," Highly Rated For Company Culture, Skill Development / Learning, Salary & Benefits ",
155,Deutsche Bank, Pune +42 other locations,Banking ,3.8,3.8k," Highly Rated For Work Life Balance, Job Security, Company Culture  "," Rated For Promotions / Appraisal, Skill Development / Learning"
156,Havells, Noida +226 other locations,Electrical Equipment ,4.0,3.8k," Highly Rated For Work Life Balance, Salary & Benefits  ", Rated For Promotions / Appraisal
157,ITC Infotech , Bangalore / Bengaluru +63 other locations,IT Services & Consulting ,3.6,3.7k,  ," Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
158,EY Global Delivery Services ( EY GDS), Bangalore / Bengaluru +47 other locations,Accounting & Auditing ,3.5,3.7k, Highly Rated For Job Security  ," Rated For Promotions / Appraisal, Work Satisfaction, Work Life Balance"
159,R1 RCM, New Delhi +42 other locations,BPO ,3.9,3.7k," Highly Rated For Company Culture, Job Security  ", Rated For Promotions / Appraisal
160,Aditya Birla Fashion and Retail, Bangalore / Bengaluru +251 other locations,Fashion & Textile ,4.1,3.9k," Highly Rated For Job Security, Skill Development / Learning, Company Culture ",
161,Bajaj Auto, Pune +288 other locations,Automobile ,3.8,3.7k,  , Rated For Promotions / Appraisal
162,Team Lease, Bangalore / Bengaluru +370 other locations,Recruitment ,3.9,3.6k,  , Rated For Promotions / Appraisal
163,Oyo Rooms, Gurgaon / Gurugram +119 other locations,Hospitality ,3.2,3.6k,  ," Rated For Job Security, Work Satisfaction, Promotions / Appraisal"
164,Reliance Communications, Mumbai +455 other locations,Telecom ,4.0,3.6k," Highly Rated For Skill Development / Learning, Company Culture, Work Life Balance  ", Rated For Promotions / Appraisal
165,Access Healthcare, Chennai +48 other locations,Analytics & KPO ,3.9,3.6k," Highly Rated For Job Security, Company Culture  ", Rated For Promotions / Appraisal
