,Company_Name,Sector of Company,Locations of company,Rating,No_of_Ratings,Positives of Company,Negatives of Company
3229,Tata Digital, Mumbai +8 other locations,IT Services & Consulting ,2.9,295,  ," Rated For Promotions / Appraisal, Company Culture, Work Satisfaction"
3230,Personiv, Coimbatore +10 other locations,BPO ,3.6,283,  ," Rated For Promotions / Appraisal, Skill Development / Learning, Salary & Benefits"
3231,Wagh Bakri Tea Group, Ahmedabad +38 other locations,Beverage ,4.2,282," Highly Rated For Work Life Balance, Salary & Benefits, Job Security ",
3232,Apollo Clinic, Kolkata +38 other locations,Healthcare ,4.0,282," Highly Rated For Work Life Balance, Skill Development / Learning, Company Culture  ", Rated For Promotions / Appraisal
3233,Hitech Digital Solutions, Ahmedabad +14 other locations,IT Services & Consulting ,3.8,293," Highly Rated For Company Culture, Work Life Balance, Job Security  "," Rated For Promotions / Appraisal, Skill Development / Learning, Salary & Benefits"
3234,Network 18, Mumbai +26 other locations,Media & Entertainment ,3.5,282,  ," Rated For Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
3235,Lobo Staffing Solutions, Mumbai +65 other locations,Recruitment ,4.2,281," Highly Rated For Work Life Balance, Company Culture, Work Satisfaction  ", Rated For Promotions / Appraisal
3236,Kimberly-Clark, Bangalore / Bengaluru +52 other locations,Beauty & Personal Care ,4.0,283," Highly Rated For Salary & Benefits, Company Culture, Work Life Balance  ", Rated For Promotions / Appraisal
3237,Empower Retirement , Bangalore / Bengaluru +5 other locations,Financial Services ,3.9,288," Highly Rated For Job Security, Salary & Benefits, Work Life Balance  ", Rated For Promotions / Appraisal
3238,Tradeshala, Bangalore / Bengaluru +6 other locations,Education & Training ,4.5,325," Highly Rated For Company Culture, Work Life Balance, Skill Development / Learning ",
3239,Sabre, Bangalore / Bengaluru +10 other locations,Software Product ,4.0,282," Highly Rated For Work Life Balance, Company Culture, Salary & Benefits  "," Rated For Job Security, Promotions / Appraisal"
3240,MMC Infotech Services, Chennai +7 other locations,IT Services & Consulting ,3.5,281,  ," Rated For Promotions / Appraisal, Salary & Benefits, Company Culture"
3241,Gi Group, Noida +48 other locations,Recruitment ,3.8,282, Highly Rated For Work Life Balance  , Rated For Promotions / Appraisal
3242,SOTC Travel Limited, Mumbai +33 other locations,Travel & Tourism ,3.8,281,  ," Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
3243,MobileComm Technologies India, Gurgaon / Gurugram +30 other locations,Telecom ,3.8,281,  ," Rated For Promotions / Appraisal, Job Security"
3244,Advanced Micro Devices, Hyderabad / Secunderabad +14 other locations,Semiconductors ,3.6,282,  ," Rated For Promotions / Appraisal, Job Security, Work Satisfaction"
3245,DB Power Limited, Raigarh +10 other locations,Power ,4.6,281," Highly Rated For Job Security, Company Culture, Work Life Balance ",
3246,Kalkine, Noida +2 other locations,Financial Services ,4.1,281," Highly Rated For Work Life Balance, Salary & Benefits, Company Culture ",
3247,DSV - Global Transport and Logistics, Mumbai +33 other locations,Logistics ,3.9,294,  , Rated For Promotions / Appraisal
3248,Sundaram Auto Components, Hosur +18 other locations,Auto Components ,4.1,281," Highly Rated For Skill Development / Learning, Company Culture, Work Satisfaction  ", Rated For Promotions / Appraisal
3249,SNVA Group, Noida +6 other locations,IT Services & Consulting ,3.7,280, Highly Rated For Work Life Balance ,
3250,Indchemie Health Specialities, Mumbai +58 other locations,Pharma ,3.8,280, Highly Rated For Work Life Balance  ," Rated For Skill Development / Learning, Promotions / Appraisal"
3251,Louis Philippe, Bangalore / Bengaluru +71 other locations,Fashion & Textile ,4.3,280," Highly Rated For Skill Development / Learning, Company Culture, Work Life Balance ",
3252,Inventia Healthcare, Mumbai +8 other locations,Pharma ,3.9,281," Highly Rated For Company Culture, Job Security  ", Rated For Promotions / Appraisal
3253,Unique Identification Authority of India, New Delhi +84 other locations,IT Services & Consulting ,4.0,280,  ," Rated For Promotions / Appraisal, Job Security, Skill Development / Learning"
3254,Bluechip Corporate Investment Centre, Mumbai +86 other locations,Accounting & Auditing ,4.0,281," Highly Rated For Job Security, Company Culture, Salary & Benefits  ", Rated For Promotions / Appraisal
3255,R.K.M Powergen, Raigarh +15 other locations,Power ,4.0,280," Highly Rated For Work Life Balance, Job Security, Work Satisfaction ",
3256,Thomson Digital, Noida +8 other locations,Printing & Publishing ,3.9,279," Highly Rated For Work Life Balance, Salary & Benefits ",
3257,Rushil Decor, Ahmedabad +33 other locations,Building Material ,4.2,279," Highly Rated For Work Life Balance, Job Security, Work Satisfaction ",
3258,GSH Group, Chennai +35 other locations,Facility Management Services ,4.2,279," Highly Rated For Work Life Balance, Company Culture, Work Satisfaction ",
3259,Padmini VNA Mechatronics, Gurgaon / Gurugram +3 other locations,Auto Components ,4.2,280," Highly Rated For Work Life Balance, Company Culture, Skill Development / Learning ",
3260,Aptean, Bangalore / Bengaluru +5 other locations,Software Product ,3.3,279,  ," Rated For Promotions / Appraisal, Company Culture, Work Satisfaction"
3261,Nitco, Mumbai +52 other locations,Building Material ,4.2,280," Highly Rated For Work Life Balance, Company Culture, Job Security ",
3262,ABI Showatech, Chennai +11 other locations,Auto Components ,3.6,281,  ," Rated For Promotions / Appraisal, Salary & Benefits, Job Security"
3263,Cashpor Micro Credit, Varanasi +48 other locations,NBFC ,3.7,279,  ," Rated For Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
3264,Metric Stream Infotech, Bangalore / Bengaluru +5 other locations,Internet ,3.2,279,  ," Rated For Promotions / Appraisal, Job Security, Work Satisfaction"
3265,Mahindra Truck and Bus, Pune +58 other locations,Automobile ,3.7,280,  , Rated For Promotions / Appraisal
3266,Molecular Connections, Bangalore / Bengaluru +9 other locations,IT Services & Consulting ,3.3,278,  ," Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
3267,AVL, Gurgaon / Gurugram +19 other locations,Automobile ,3.6,278, Highly Rated For Job Security  ," Rated For Promotions / Appraisal, Company Culture, Work Satisfaction"
3268,AirAsia, Bangalore / Bengaluru +24 other locations,Aviation ,3.6,278, Highly Rated For Job Security  ," Rated For Promotions / Appraisal, Work Satisfaction, Salary & Benefits"
3269,Frigorifico Allana, Aurangabad +31 other locations,Food Processing ,3.9,278, Highly Rated For Salary & Benefits  , Rated For Promotions / Appraisal
3270,Doha Petroleum Construction Company, Doha +12 other locations,Oil & Gas ,3.8,278," Highly Rated For Job Security, Work Life Balance, Work Satisfaction  "," Rated For Promotions / Appraisal, Salary & Benefits"
3271,Plasser India, Vadodara +11 other locations,Industrial Machinery ,4.1,278," Highly Rated For Salary & Benefits, Work Life Balance, Company Culture ",
3272,Cactus Communications, Mumbai +15 other locations,Software Product ,3.6,279,  ," Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
3273,DotPe, Gurgaon / Gurugram +20 other locations,IT Services & Consulting ,3.1,304,  ," Rated For Job Security, Promotions / Appraisal, Company Culture"
3274,Eaton India Innovation Center, Pune +2 other locations,Engineering & Construction ,4.0,298," Highly Rated For Job Security, Salary & Benefits, Company Culture  ", Rated For Promotions / Appraisal
3275,UNIVO Education , Noida +7 other locations,EdTech ,3.3,313,  ," Rated For Promotions / Appraisal, Work Satisfaction, Job Security"
3276,VTP Realty, Pune +1 other locations,Real Estate ,3.7,300,  ," Rated For Salary & Benefits, Work Satisfaction, Company Culture"
3277,Royal Research, Kolkata +5 other locations,Analytics & KPO ,2.0,278," Highly Rated For Work Life Balance, Job Security, Company Culture  ", Rated For Promotions / Appraisal
3278,SMS Group, Gurgaon / Gurugram +19 other locations,Industrial Machinery ,4.1,278, Highly Rated For Skill Development / Learning ,
3279,Patil Group, Hyderabad / Secunderabad +44 other locations,Engineering & Construction ,3.8,277,,
3280,UNIVO Education , Noida +7 other locations,EdTech ,3.3,313,  ," Rated For Promotions / Appraisal, Work Satisfaction, Job Security"
3281,Royal Research, Kolkata +5 other locations,Analytics & KPO ,2.0,278,  ," Rated For Salary & Benefits, Work Satisfaction, Company Culture"
3282,SMS Group, Gurgaon / Gurugram +19 other locations,Industrial Machinery ,4.1,278," Highly Rated For Work Life Balance, Job Security, Company Culture  ", Rated For Promotions / Appraisal
3283,Cactus Communications, Mumbai +15 other locations,Software Product ,3.6,279,  ," Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
3284,MN Dastur & Company, Kolkata +13 other locations,Metals & Mining ,4.2,277," Highly Rated For Company Culture, Work Life Balance, Skill Development / Learning  ", Rated For Salary & Benefits
3285,Muthoot Housing Finance Company, Mumbai +89 other locations,NBFC ,3.9,279," Highly Rated For Salary & Benefits, Work Life Balance ",
3286,Bnp Paribas Securities, Chennai +8 other locations,Financial Services ,3.9,277," Highly Rated For Job Security, Company Culture, Work Life Balance  "," Rated For Salary & Benefits, Promotions / Appraisal"
3287,Teamspace Financial Services, Mumbai +94 other locations,Financial Services ,4.0,277," Highly Rated For Company Culture, Work Life Balance, Skill Development / Learning  ", Rated For Promotions / Appraisal
3288,Rainbow Childrens Hospital, Hyderabad / Secunderabad +13 other locations,Healthcare ,3.9,277, Highly Rated For Skill Development / Learning  , Rated For Promotions / Appraisal
3289,OneSource Specialty Pharma Limited, Bangalore / Bengaluru +2 other locations,Pharma ,3.7,277,  ," Rated For Promotions / Appraisal, Company Culture, Job Security"
3290,B S R & Co Llp, Mumbai +20 other locations,Accounting & Auditing ,3.3,298, Highly Rated For Job Security  ," Rated For Work Life Balance, Work Satisfaction, Promotions / Appraisal"
3291,Pitney Bowes, Pune +14 other locations,IT Services & Consulting ,3.8,276," Highly Rated For Work Life Balance, Salary & Benefits  "," Rated For Job Security, Promotions / Appraisal"
3292,Asort Company, Gurgaon / Gurugram +54 other locations,Internet ,4.3,280," Highly Rated For Company Culture, Skill Development / Learning, Work Life Balance ",
3293,Hero Housing Finance, New Delhi +67 other locations,Financial Services ,3.9,311," Highly Rated For Skill Development / Learning, Salary & Benefits  ", Rated For Promotions / Appraisal
3294,Sri Sri Tattva, Bangalore / Bengaluru +51 other locations,FMCG ,3.5,298,  ," Rated For Promotions / Appraisal, Skill Development / Learning, Work Satisfaction"
3295,Madina Group, Doha +19 other locations,Oil & Gas ,4.6,283," Highly Rated For Company Culture, Work Life Balance, Work Satisfaction ",
3296,ESAB, Chennai +24 other locations,Industrial Machinery ,4.1,276," Highly Rated For Job Security, Work Life Balance, Company Culture  ", Rated For Promotions / Appraisal
3297,Alicon Castalloy, Pune +9 other locations,Auto Components ,3.3,276,  ," Rated For Company Culture, Work Life Balance, Work Satisfaction"
3298,Origo Commodities, Gurgaon / Gurugram +54 other locations,Agriculture ,3.4,276,  ," Rated For Promotions / Appraisal, Job Security, Company Culture"
3299,Adani Logistics,,Ahmedabad +57 other locations,3.7,278,  ," Rated For Promotions / Appraisal, Work Satisfaction, Company Culture"
3300,Aabasoft, Kochi +10 other locations,IT Services & Consulting ,4.1,276," Highly Rated For Company Culture, Skill Development / Learning, Job Security ",
3301,Karamtara Engineering, Mumbai +11 other locations,Engineering & Construction ,3.5,277,  ," Rated For Promotions / Appraisal, Company Culture, Work Satisfaction"
3302,IndianOil Adani Ventures,,Paradip +27 other locations,4.0,276," Highly Rated For Company Culture, Work Life Balance, Skill Development / Learning  ", Rated For Promotions / Appraisal
3303,MSP Steel & Power, Raigarh +15 other locations,Iron & Steel ,4.0,276," Highly Rated For Job Security, Skill Development / Learning ",
3304,Machino Plastics, Gurgaon / Gurugram +12 other locations,Auto Components ,3.8,276,  ," Rated For Job Security, Promotions / Appraisal"
3305,Aujas Cybersecurity-NuSummit company, Bangalore / Bengaluru +12 other locations,IT Services & Consulting ,3.7,278,  ," Rated For Promotions / Appraisal, Work Satisfaction"
3306,Nestaway, Bangalore / Bengaluru +13 other locations,Internet ,3.8,276,  ," Rated For Job Security, Promotions / Appraisal, Skill Development / Learning"
3307,MSD Pharmaceuticals, Mumbai +48 other locations,Pharma ,4.2,275," Highly Rated For Salary & Benefits, Skill Development / Learning, Company Culture ",
3308,Satguru Travels and Tour Services, Pune +36 other locations,Travel & Tourism ,3.0,275,  ," Rated For Company Culture, Promotions / Appraisal, Work Satisfaction"
3309,Captain Steel India Limited, Kolkata +56 other locations,Iron & Steel ,4.4,290," Highly Rated For Company Culture, Work Life Balance, Work Satisfaction ",
3310,Omkar Realtors and Developers Group, Mumbai +11 other locations,Real Estate ,3.8,275," Highly Rated For Work Life Balance, Company Culture  "," Rated For Job Security, Promotions / Appraisal"
3311,Amartex Industries, Panchkula +18 other locations,Fashion & Textile ,4.0,275," Highly Rated For Skill Development / Learning, Company Culture, Work Life Balance ",
3312,Enphase Energy, Bangalore / Bengaluru +8 other locations,Power ,2.9,303,  ," Rated For Job Security, Promotions / Appraisal, Company Culture"
3313,Swiss Re, Bangalore / Bengaluru +6 other locations,Insurance ,3.8,276," Highly Rated For Work Life Balance, Company Culture  "," Rated For Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
3314,Rubicon Research, Mumbai +11 other locations,Pharma ,3.5,274,  ," Rated For Promotions / Appraisal, Company Culture, Work Life Balance"
3315,Global Calcium, Hosur +5 other locations,Pharma ,3.4,275,  ," Rated For Promotions / Appraisal, Company Culture, Work Satisfaction"
3316,Deepak Phenolics, Bharuch +12 other locations,Chemicals ,4.4,275," Highly Rated For Job Security, Company Culture, Skill Development / Learning ",
3317,Luxor Writing Instruments, Noida +37 other locations,Other ,3.7,275,  ," Rated For Promotions / Appraisal, Skill Development / Learning, Company Culture"
